上海电信,#genre#
东方卫视「高清」,http://222.65.141.12:54022/udp/239.45.3.146:5140
新闻综合「高清」,http://222.65.141.12:54022/udp/239.45.3.209:5140
上海都市「高清」,http://222.65.141.12:54022/udp/239.45.3.236:5140
五星体育「高清」,http://222.65.141.12:54022/udp/239.45.3.210:5140
东方影视「高清」,http://222.65.141.12:54022/udp/239.45.3.237:5140
生活时尚「高清」,http://222.65.141.12:54022/udp/239.45.3.132:5140
纪实人文「高清」,http://222.65.141.12:54022/udp/239.45.3.212:5140
哈哈炫动卡通「高清」,http://222.65.141.12:54022/udp/239.45.1.55:5140
上海教育「标清」,http://222.65.141.12:54022/udp/239.45.3.252:5140
足球频道「高清」,http://222.65.141.12:54022/udp/239.45.3.22:5140
第一财经「高清」,http://222.65.141.12:54022/udp/239.45.3.211:5140
东方财经浦东「标清」,http://222.65.141.12:54022/udp/239.45.1.119:5140
外语频道「高清」,http://222.65.141.12:54022/udp/239.45.1.127:5140
都市剧场「高清」,http://222.65.141.12:54022/udp/239.45.3.136:5140
欢笑剧场「4K」,http://222.65.141.12:54022/udp/239.45.1.4:5140
嘉定电视「普清」,http://222.65.141.12:54022/udp/239.45.3.185:5140
浦东电视「标清」,http://222.65.141.12:54022/udp/239.45.3.248:5140
崇明电视「高清」,http://222.65.141.12:54022/udp/239.45.1.54:5140
健康人生「普清」,http://222.65.141.12:54022/udp/239.45.3.214:5140
极速汽车「高清」,http://222.65.141.12:54022/udp/239.45.3.49:5140
全纪实「高清」,http://222.65.141.12:54022/udp/239.45.3.135:5140
游戏风云「高清」,http://222.65.141.12:54022/udp/239.45.3.131:5140
法治天地「高清」,http://222.65.141.12:54022/udp/239.45.1.46:5140
七彩戏剧「标清」,http://222.65.141.12:54022/udp/239.45.1.112:5140
金色学堂「标清」,http://222.65.141.12:54022/udp/239.45.1.118:5140
金鹰纪实「高清」,http://222.65.141.12:54022/udp/239.45.1.45:5140
金鹰卡通「标清」,http://222.65.141.12:54022/udp/239.45.3.119:5140
动漫秀场「高清」,http://222.65.141.12:54022/udp/239.45.3.134:5140
卡酷少儿「高清」,http://222.65.141.12:54022/udp/239.45.0.8:5140
百事通电影「4K」,http://222.65.141.12:54022/udp/239.45.1.9:5140
百事通动物「4K」,http://222.65.141.12:54022/udp/239.45.1.10:5140
百事通宠物「4K」,http://222.65.141.12:54022/udp/239.45.1.11:5140
百事通纪实「标清」,http://222.65.141.12:54022/udp/239.45.1.103:5140
湖南卫视「高清」,http://222.65.141.12:54022/udp/239.45.3.228:5140
江苏卫视「高清」,http://222.65.141.12:54022/udp/239.45.3.177:5140
浙江卫视「高清」,http://222.65.141.12:54022/udp/239.45.3.178:5140
贵州卫视「高清」,http://222.65.141.12:54022/udp/239.45.1.80:5140
海南卫视「高清」,http://222.65.141.12:54022/udp/239.45.1.81:5140
安徽卫视「高清」,http://222.65.141.12:54022/udp/239.45.1.120:5140
东南卫视「高清」,http://222.65.141.12:54022/udp/239.45.1.121:5140
辽宁卫视「高清」,http://222.65.141.12:54022/udp/239.45.1.123:5140
天津卫视「高清」,http://222.65.141.12:54022/udp/239.45.1.124:5140
四川卫视「高清」,http://222.65.141.12:54022/udp/239.45.1.83:5140
北京卫视「高清」,http://222.65.141.12:54022/udp/239.45.3.229:5140
广东卫视「高清」,http://222.65.141.12:54022/udp/239.45.3.230:5140
重庆卫视「高清」,http://222.65.141.12:54022/udp/239.45.1.84:5140
江西卫视「高清」,http://222.65.141.12:54022/udp/239.45.1.122:5140
深圳卫视「高清」,http://222.65.141.12:54022/udp/239.45.3.231:5140
黑龙江卫视「高清」,http://222.65.141.12:54022/udp/239.45.3.232:5140
山东卫视「高清」,http://222.65.141.12:54022/udp/239.45.3.238:5140
湖北卫视「高清」,http://222.65.141.12:54022/udp/239.45.3.239:5140
三沙卫视「标清」,http://222.65.141.12:54022/udp/239.45.1.82:5140
新疆卫视「标清」,http://222.65.141.12:54022/udp/239.45.1.116:5140
兵团卫视「标清」,http://222.65.141.12:54022/udp/239.45.1.117:5140
宁夏卫视「标清」,http://222.65.141.12:54022/udp/239.45.1.213:5140
广西卫视「高清」,http://222.65.141.12:54022/udp/239.45.0.5:5140
吉林卫视「高清」,http://222.65.141.12:54022/udp/239.45.0.6:5140
山西卫视「标清」,http://222.65.141.12:54022/udp/239.45.1.229:5140
青海卫视「标清」,http://222.65.141.12:54022/udp/239.45.1.230:5140
西藏卫视「标清」,http://222.65.141.12:54022/udp/239.45.1.231:5140
陕西卫视「标清」,http://222.65.141.12:54022/udp/239.45.1.232:5140
云南卫视「高清」,http://222.65.141.12:54022/udp/239.45.0.4:5140
甘肃卫视「标清」,http://222.65.141.12:54022/udp/239.45.1.234:5140
河北卫视「高清」,http://222.65.141.12:54022/udp/239.45.1.44:5140
内蒙古卫视「标清」,http://222.65.141.12:54022/udp/239.45.1.238:5140
